from,to,weight
W00571PAPP0,W05095QNOD1,496
W00571PAPP0,W05095QNOD2,557
W00571PAPP0,W05115PNOD1,273
W00571PAPP0,W05115PNOD2,787
W00571PAPP0,W05115PNOD3,344
W00571PAPP0,W05117PAPP0,153
W00571PAPP0,W05120QAPP0,329
W00571PAPP0,W05142PAPP0,351
W00571PAPP0,W05160PAPP0,403
W00571PAPP0,W05169PAPP0,575
W00571PAPP0,W05176PSQL0,610
W00571PAPP0,W05219PAPP0,488
W00571PAPP0,W05245QNOD1,425
W00571PAPP0,W05245QNOD2,521
W00571PAPP0,W05247PNOD1,623
W00571PAPP0,W05247PNOD2,358
W00571PAPP0,W05248QAPP0,226
W00571PAPP0,W05249QAPP0,510
W00571PAPP0,W05250PAPP0,508
W00571PAPP0,W05251PAPP0,288
W00571PAPP0,W05262PAPP0,648
W00571PAPP0,W05263PAPP0,441
W00571PAPP0,W05359PCXW0,"1,974"
W00571PAPP0,W05360PCXW0,"1,637"
W00571PAPP0,W05416PPSC0,289
W00571PAPP0,W05427PCXW0,"1,924"
W00571PAPP0,W05461DAPP0,"6,138"
W00571PAPP0,W05462DSQL0,"6,094"
W00571PAPP0,W05580QAPP0,518
W00571PAPP0,W05581QSQL0,577
W00571PAPP0,W05639QNOD1,207
W00571PAPP0,W05639QNOD2,279
W00571PAPP0,W05640QAPP0,649
W00571PAPP0,W05641QAPP0,728
W00571PAPP0,W05684PAPP0,444
W00571PAPP0,W05685PAPP0,356
W00571PAPP0,W05686PNOD1,629
W00571PAPP0,W05686PNOD2,586
W00571PAPP0,W05730DAPP0,"8,083"
W00571PAPP0,W05731DSQL0,"5,115"
W00571PAPP0,W05780QAPP0,987
W00571PAPP0,W05781PAPP0,391
W00571PAPP0,W05782PAPP0,288
W00571PAPP0,W05815QAPP0,588
W00571PAPP0,W05816QSQL0,510
W00571PAPP0,W05859QAPP0,179
W00571PAPP0,W05871PAPP0,718
W00571PAPP0,W05888QAPP0,633
W00571PAPP0,W05889QAPP0,653
W00571PAPP0,W05892QAPP0,640
W00571PAPP0,W05895PSQL0,558
W00571PAPP0,W05911PCXW0,"1,512"
W00571PAPP0,W05912PCXW0,"1,497"
W00571PAPP0,W05917DSQL0,"9,622"
W00571PAPP0,W05934QAPP0,116
W00571PAPP0,W05935PAPP0,514
W00571PAPP0,W05986PAPP0,476
W00571PAPP0,W06064QAPP0,269
W00571PAPP0,W06065QAPP0,292
W00571PAPP0,W06178PFLE0,553
W00571PAPP0,W06254QAPP0,492
W00571PAPP0,W06255QSQL0,411
W00571PAPP0,W06297QNOD1,494
W00571PAPP0,W06297QNOD2,299
W00571PAPP0,W06307PSQL0,476
W00571PAPP0,W06353PCXW0,499
W00571PAPP0,W06423QSQL0,531
W00571PAPP0,W06445PNCE0,344
W00571PAPP0,W06448PSQL0,388
W00571PAPP0,W06449PNCE0,524
W00571PAPP0,W06450PNCE0,414
W00571PAPP0,W06451PNCE0,425
W00571PAPP0,W06532PAPP0,500
W00571PAPP0,W06545PNOD1,"2,318"
W00571PAPP0,W06545PNOD2,345
W00571PAPP0,W06559PAPP0,452
W00571PAPP0,W06625QAPP0,597
W00571PAPP0,W06626QAPP0,379
W00571PAPP0,W06627QNOD1,673
W00571PAPP0,W06627QNOD2,738
W00571PAPP0,W06682EAPP0,598
W00571PAPP0,W06761PSQL0,542
W00571PAPP0,W06779QAPP0,762
W00571PAPP0,W06791PAPP0,373
W00571PAPP0,Weblogic-12-Auto,3
W00571PAPP0,Weblogic-12-Auto_0000000002,1
W00571PAPP0,WP-BTGChile-L2023_0000000003,26
W00572PAPP0,BTG,25
W00572PAPP0,EC2-Apache-Prod,1
W00572PAPP0,FW_ZONE_B2,3
W00572PAPP0,FW_ZONE_D2,2
W00572PAPP0,L02427PAPP0,4
W00572PAPP0,L02633PAPP0,39
W00572PAPP0,L02694PAPP0,4
W00572PAPP0,L02701PAPP0,7
W00572PAPP0,L03021PAPP0,1
W00572PAPP0,L03074PAPP0,11
W00572PAPP0,L03075PAPP0,1
W00572PAPP0,L03087PAPP0,4
W00572PAPP0,L03331PAPP01,2
W00572PAPP0,L03455PAPP0,7
W00572PAPP0,L03456PAPP0,3
W00572PAPP0,L04014PAPP0,3
W00572PAPP0,L04067PAPP0,9
W00572PAPP0,L04134PAPP0,16
W00572PAPP0,L04160PAPP0,1
W00572PAPP0,L05112PAPP0,2
W00572PAPP0,L05113PAPP0,2
W00572PAPP0,L05374PORA0,2
W00572PAPP0,L05463PAPP0,9
W00572PAPP0,L05526PAPP0,3
W00572PAPP0,L05528PNOD1,11
W00572PAPP0,L05528PNOD2,10
W00572PAPP0,L05820PAPP0,3
W00572PAPP0,L05827PAPP0,4
W00572PAPP0,L05918PAPP0,2
W00572PAPP0,L05984PSQL0,2
W00572PAPP0,L05997PORA0,3
W00572PAPP0,L05998PORA0,3
W00572PAPP0,L06023PAPPO,1
W00572PAPP0,L06036PAPP0,3
W00572PAPP0,L06100PAPP0,3
W00572PAPP0,L06284PAPP0,2
W00572PAPP0,L06326PAPP0,184
W00572PAPP0,L06387PAPP0,1
W00572PAPP0,L06392PAPP0,1
W00572PAPP0,L06514PAPP0,2
W00572PAPP0,L06689EAPP0,1
W00572PAPP0,L06780PAPP0,1
W00572PAPP0,NSCL047PMBX,336
W00572PAPP0,NSCL114DWSS,197
W00572PAPP0,NSCL115PNMG,64
W00572PAPP0,NSCL116PNMG,294
W00572PAPP0,NSCL138PAPP,127
W00572PAPP0,NSCL139PAPP,223
W00572PAPP0,NSCL169PFAP,269
W00572PAPP0,S02969PAPP0,5
W00572PAPP0,S03018PAPP0,1
W00572PAPP0,S03019PAPP0,2
W00572PAPP0,TEM-VDI-WIN11,140
W00572PAPP0,TEMPBCM-W2K16S,164
W00572PAPP0,TEMPLATE-TIT-2K,113
W00572PAPP0,VDI-CL-TI-0024,7
W00572PAPP0,VDI-CL-TI-0037,72
W00572PAPP0,VDI-CL-TI-0062,76
W00572PAPP0,W00571PAPP0,45
W00572PAPP0,W00707PFLE0,260
W00572PAPP0,W00708PAPP0,337
W00572PAPP0,W00875DFLE0,"14,712"
W00572PAPP0,W00928PFLE0,187
W00572PAPP0,W01345PAPP0,343
W00572PAPP0,W01605PAPP0,30
W00572PAPP0,W01608PNOD1,77
W00572PAPP0,W01725UAPP0,414
W00572PAPP0,W02129PAPP0,357
W00572PAPP0,W02130PAPP0,346
W00572PAPP0,W02283PAPP0,576
W00572PAPP0,W02369PAPP0,33
W00572PAPP0,W02475PAPP0,127
W00572PAPP0,W02476PAPP0,245
W00572PAPP0,W02509PAPP0,195
W00572PAPP0,W02510PAPP1,360
W00572PAPP0,W02561PAPP0,979
W00572PAPP0,W02762PAPP2,"14,712"
W00572PAPP0,W02763PAPP1,170
W00572PAPP0,W02763PAPP2,263
W00572PAPP0,W02764PNOD2,293
W00572PAPP0,W02764PNOD3,198
W00572PAPP0,W02765PSQL0,"4,055"
W00572PAPP0,W02820DAPP0,"11,729"
W00572PAPP0,W02821DSQL0,"8,365"
W00572PAPP0,W02823PAPP0,305
W00572PAPP0,W02824PAPP0,326
W00572PAPP0,W02825PNOD1,384
W00572PAPP0,W02825PNOD2,277
W00572PAPP0,W02856DAPP0,"5,449"
W00572PAPP0,W02857PAPP0,102
W00572PAPP0,W02894QNOD1,254
W00572PAPP0,W02894QNOD2,286
W00572PAPP0,W02897UAPP0,161
W00572PAPP0,W02952QNOD1,385
W00572PAPP0,W02952QNOD2,895
W00572PAPP0,W02953QAPP0,622
W00572PAPP0,W02954QAPP0,630
W00572PAPP0,W02957EAPP0,48
W00572PAPP0,W02962PAPP0,282
W00572PAPP0,W02975PAPP0,9
W00572PAPP0,W03022PNOD1,25
W00572PAPP0,W03022PNOD2,99
W00572PAPP0,W03060PAPP0,366
W00572PAPP0,W03066UAPP0,190
W00572PAPP0,W03070UAPP0,384
W00572PAPP0,W03072USQL0,317
W00572PAPP0,W03073PNOD1,278
W00572PAPP0,W03073PNOD2,244
W00572PAPP0,W03095PNOD1,34
W00572PAPP0,W03095PNOD2,338
W00572PAPP0,W03096PAPP0,207
W00572PAPP0,W03097PAPP0,322
W00572PAPP0,W03107QAPP0,574
W00572PAPP0,W03108QAPP0,440
W00572PAPP0,W03110QNOD1,350
W00572PAPP0,W03110QNOD2,350
W00572PAPP0,W03125DAPP0,"8,369"
W00572PAPP0,W03126DSQL0,"7,258"
W00572PAPP0,W03139PAPP0,218
W00572PAPP0,W03156PNOD1,178
W00572PAPP0,W03156PNOD2,346
W00572PAPP0,W03158PAPP0,211
W00572PAPP0,W03190DAPP0,"4,687"
W00572PAPP0,W03191DNOD1,"7,515"
W00572PAPP0,W03191DNOD2,"26,159"
W00572PAPP0,W03209DAPP0,334
W00572PAPP0,W03210DSQL0,301
W00572PAPP0,W03211DSQL0,"8,477"
W00572PAPP0,W03212DAPP0,"9,556"
W00572PAPP0,W03328PSQL0,318
W00572PAPP0,W03330DAPP0,"3,801"
W00572PAPP0,W03351DAPP0,"6,216"
W00572PAPP0,W03453PNOD1,323
W00572PAPP0,W03453PNOD2,248
W00572PAPP0,W03537QSQL0,286
W00572PAPP0,W03804QAPP0,175
W00572PAPP0,W03807PAPP0,175
W00572PAPP0,W03866QNOD1,588
W00572PAPP0,W03866QNOD2,662
W00572PAPP0,W03869PNOD1,284
W00572PAPP0,W03869PNOD2,19
W00572PAPP0,W03898PMON0,246
W00572PAPP0,W03900PMBX0,6
W00572PAPP0,W03926PAPP0,154
W00572PAPP0,W04013PSQL0,310
W00572PAPP0,W04042QAPP0,90
W00572PAPP0,W04048QAPP0,108
W00572PAPP0,W04049PAPP0,5
W00572PAPP0,W04050PAPP0,27
W00572PAPP0,W04051PAPP0,186
W00572PAPP0,W04150PSQL0,176
W00572PAPP0,W04158PAPP0,231
W00572PAPP0,W04165PAPP0,423
W00572PAPP0,W04181PNOD1,264
W00572PAPP0,W04181PNOD2,375
W00572PAPP0,W04197PAPP0,194
W00572PAPP0,W04228QSQL0,327
W00572PAPP0,W04238QNOD1,248
