groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.249,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,73
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.25,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,5
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.250,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,28
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.250,dynamic,sqlservr.exe,BR-PREVIRED,192.168.10.216,1433,14
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.251,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,52
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.251,dynamic,sqlservr.exe,BR-WAURISBD1P,192.168.84.29,1433,8
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.252,dynamic,sqlservr.exe,BR-ASESORIA,192.168.10.169,1433,12
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.252,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,9
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.253,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,3
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.254,dynamic,sqlservr.exe,BR-MIS,192.168.10.101,1433,71
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.254,dynamic,sqlservr.exe,BR-WPCOMPROCP_3,192.168.82.172,1433,225
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.26,dynamic,sqlservr.exe,BR-PREVIRED,192.168.10.216,1433,2
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.26,dynamic,sqlservr.exe,BR-WAURISBD1P,192.168.84.29,1433,20
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.28,dynamic,sqlservr.exe,BR-ASESORIA,192.168.10.169,1433,15
Assessment,bripley-onprem-cl,TCP,Unscanned Device,172.16.14.28,dynamic,sqlservr.exe,BR-ASESORIA2,192.168.14.110,1433,46
