from,to,weight
BR-ADMIEXIHS01D,34.205.5.31,2
BR-ADMIEXIHS01D,34.205.5.31,2
BR-ADMIEXIHS01D,95.101.88.93,51
BR-ADMIEXIHS01D,64.39.104.113,56
BR-ADMIEXIHS01D,23.222.252.70,73
BR-ADMIEXIHS01D,34.205.5.8,1
BR-ADMIEXIHS01D,2.20.52.70,6
BR-ADMIEXIHS01D,192.168.10.6,5
BR-ADMIEXIHS01D,95.101.88.93,2
BR-ADMIEXIHS01D,23.60.80.75,3
BR-ADMIEXIHS01D,192.168.10.6,1
BR-ADMIEXIHS01D,34.205.5.8,2
BR-ADMIEXIHS01D,192.168.82.55,579
BR-ADMIEXIHS01D,64.39.104.113,1
BR-ADMIEXIHS01D,34.203.45.194,953
BR-ADMIEXIHS01D,34.205.5.31,1
BR-ADMIEXIHS01D,34.205.5.8,3
BR-ADMIEXIHS01D,34.205.5.9,2
BR-ADMIEXIHS01D,2.20.52.70,9
BR-ADMIEXIHS01D,23.222.252.70,56
BR-ADMIEXIHS01D,64.39.104.113,3
BR-ADMIEXIHS01D,95.101.88.93,48
BR-ADMIEXIHS01D,192.168.82.55,424
BR-ADMIEXIHS01D,23.222.252.70,1
BR-ADMIEXIHS01D,34.203.45.194,5
BR-ADMIEXIHS01D,34.205.5.31,1
BR-ADMIEXIHS01D,34.205.5.8,3
BR-ADMIEXIHS01D,34.205.5.9,3
BR-ADMIEXIHS01D,64.39.104.113,6
BR-ADMIEXIHS01D,64.39.104.113,2
BR-ADMIEXIHS01D,192.168.10.6,3
BR-ADMIEXIHS01D,64.39.104.113,48
BR-ADMIEXIHS01D,95.101.88.93,1
BR-ADMIEXIHS01D,169.254.169.254,4
BR-ADMIEXIHS01D,20.1.1.151,21
BR-ADMIEXIHS01D,20.1.1.151,6
BR-ADMIEXIHS01D,169.254.169.254,1
BR-ADMIEXIHS01P,64.39.104.113,51
BR-ADMIEXIHS01P,192.168.77.211,4825
BR-ADMIEXIHS01P,192.168.77.210,965
BR-ADMIEXIHS01P,2.20.52.70,21
BR-ADMIEXIHS01P,23.222.252.70,113
BR-ADMIEXIHS01P,192.168.10.6,52
BR-ADMIEXIHS01P,95.101.88.93,65
BR-ADMIEXIHS01P,209.132.178.16,6
BR-ADMIEXIHS01P,192.168.14.21,1544
BR-ADMIEXIHS01P,192.168.10.6,24
BR-ADMIEXIHS01P,192.168.14.21,414
BR-ADMIEXIHS01P,192.168.77.210,965
BR-ADMIEXIHS01P,2.20.52.70,12
BR-ADMIEXIHS01P,23.222.252.70,77
BR-ADMIEXIHS01P,64.39.104.113,33
BR-ADMIEXIHS01P,95.101.88.93,41
BR-ADMIEXIHS01P,64.176.3.116,1
BR-ADMIEXIHS02,192.168.10.13,14
BR-ADMIEXIHS02,192.168.83.11,876
BR-ADMIEXIHS02,23.222.252.70,237
BR-ADMIEXIHS02,34.205.5.8,2
BR-ADMIEXIHS02,192.168.83.11,3
BR-ADMIEXIHS02,52.45.95.227,553
BR-ADMIEXIHS02,52.45.95.227,3
BR-ADMIEXIHS02,2.20.52.70,67
BR-ADMIEXIHS02,192.168.83.11,19
BR-ADMIEXIHS02,23.222.252.70,1
BR-ADMIEXIHS02,192.168.83.10,1072
BR-ADMIEXIHS02,192.168.83.10,1
BR-ADMIEXIHS02,192.168.83.10,31
BR-ADMIEXIHS02,192.168.10.6,2
BR-ADMIEXIHS02,192.168.10.6,1
BR-ADMIEXIHS02,54.68.97.123,1
BR-ADMIEXIHS02,54.68.97.123,1
BR-ADMIEXIHS02,95.101.88.93,164
BR-ADMIEXIHS02,64.39.104.113,4
BR-ADMIEXIHS02,23.60.80.75,15
BR-ADMIEXIHS02,64.39.104.113,18
BR-ADMIEXIHS02,192.168.83.10,794
BR-ADMIEXIHS02,192.168.83.11,986
BR-ADMIEXIHS02,2.20.52.70,42
BR-ADMIEXIHS02,23.222.252.70,126
BR-ADMIEXIHS02,23.60.80.75,4
BR-ADMIEXIHS02,95.101.88.93,108
BR-ADMIEXIHS02,192.168.10.6,1
BR-ADMIEXIHS02,192.168.83.11,5
BR-ADMIEXIHS02,34.205.5.8,3
BR-ADMIEXIHS02,64.39.104.113,1
BR-ADMIEXIHS02,95.101.88.93,1
BR-ADMIEXIHS02,192.168.10.6,3
BR-ADMIEXIHS02,192.168.83.10,28
BR-ADMIEXIHS02,192.168.83.11,41
BR-ADMIEXIHS02,64.39.104.113,8
BR-ADMIEXIHS02,20.1.1.151,4
BR-ADMIEXIHS02,169.254.169.254,5
BR-ADMIEXIHS02,20.1.1.151,4
BR-ADMIEXIHS02,169.254.169.254,1
BR-ADMIEXIHS02,20.1.1.151,2
BR-ADMIEXIHS02,169.254.169.254,1
BR-ADMIEXIHS02D,192.168.10.13,21
BR-ADMIEXIHS02D,34.205.5.31,1
BR-ADMIEXIHS02D,2.20.52.70,16
BR-ADMIEXIHS02D,64.39.104.113,48
BR-ADMIEXIHS02D,64.39.104.113,3
BR-ADMIEXIHS02D,54.68.97.123,1
BR-ADMIEXIHS02D,54.68.97.123,1
BR-ADMIEXIHS02D,95.101.88.93,72
BR-ADMIEXIHS02D,64.39.104.113,4
BR-ADMIEXIHS02D,64.39.104.113,3
BR-ADMIEXIHS02D,23.222.252.70,103
BR-ADMIEXIHS02D,34.205.5.9,1
BR-ADMIEXIHS02D,34.205.5.9,1
BR-ADMIEXIHS02D,54.175.77.19,961
BR-ADMIEXIHS02D,54.175.77.19,4
BR-ADMIEXIHS02D,192.168.10.6,2
BR-ADMIEXIHS02D,34.205.5.31,2
BR-ADMIEXIHS02D,192.168.82.55,567
BR-ADMIEXIHS02D,44.225.240.147,3
BR-ADMIEXIHS02D,44.225.240.147,3
BR-ADMIEXIHS02D,34.205.5.8,2
BR-ADMIEXIHS02D,34.205.5.8,2
BR-ADMIEXIHS02D,192.168.10.6,1
BR-ADMIEXIHS02D,34.205.5.31,1
BR-ADMIEXIHS02D,34.205.5.8,1
BR-ADMIEXIHS02D,34.205.5.9,2
BR-ADMIEXIHS02D,2.20.52.70,19
BR-ADMIEXIHS02D,23.222.252.70,83
BR-ADMIEXIHS02D,23.60.80.75,3
BR-ADMIEXIHS02D,44.225.240.147,2
BR-ADMIEXIHS02D,64.39.104.113,4
BR-ADMIEXIHS02D,95.101.88.93,66
BR-ADMIEXIHS02D,192.168.82.55,421
BR-ADMIEXIHS02D,209.132.178.16,1
BR-ADMIEXIHS02D,34.205.5.31,3
BR-ADMIEXIHS02D,34.205.5.8,2
BR-ADMIEXIHS02D,34.205.5.9,2
BR-ADMIEXIHS02D,44.225.240.147,2
BR-ADMIEXIHS02D,54.68.97.123,2
BR-ADMIEXIHS02D,64.39.104.113,2
BR-ADMIEXIHS02D,95.101.88.93,1
BR-ADMIEXIHS02D,192.168.10.6,3
BR-ADMIEXIHS02D,64.39.104.113,64
BR-ADMIEXIHS02D,169.254.169.254,3
BR-ADMIEXIHS02D,20.1.1.151,34
BR-ADMIEXIHS02D,169.254.169.254,1
BR-ADMIEXIHS02D,20.1.1.151,9
BR-ADMIEXIHS02P,169.254.169.254,1
BR-ADMIEXIHS02P,2.20.52.70,15
BR-ADMIEXIHS02P,20.1.1.151,18
BR-ADMIEXIHS02P,52.45.95.227,704
BR-ADMIEXIHS02P,52.202.143.169,258
BR-ADMIEXIHS02P,192.168.10.6,44
BR-ADMIEXIHS02P,209.132.178.16,3
BR-ADMIEXIHS02P,34.205.5.31,2
BR-ADMIEXIHS02P,192.168.77.210,3848
BR-ADMIEXIHS02P,23.222.252.70,109
BR-ADMIEXIHS02P,95.101.88.93,61
BR-ADMIEXIHS02P,23.60.80.75,3
BR-ADMIEXIHS02P,34.205.5.9,2
BR-ADMIEXIHS02P,192.168.77.211,962
BR-ADMIEXIHS02P,64.39.104.113,33
BR-ADMIEXIHS02P,192.168.10.6,27
BR-ADMIEXIHS02P,192.168.77.211,962
BR-ADMIEXIHS02P,2.20.52.70,15
BR-ADMIEXIHS02P,20.1.1.151,13
BR-ADMIEXIHS02P,209.132.178.16,2
BR-ADMIEXIHS02P,23.222.252.70,79
BR-ADMIEXIHS02P,34.205.5.31,1
BR-ADMIEXIHS02P,34.205.5.8,3
BR-ADMIEXIHS02P,64.39.104.113,32
BR-ADMIEXIHS02P,95.101.88.93,61
BR-ADMIEXJRE01,192.168.10.78,1
BR-ADMIEXJRE01,192.168.9.102,218
BR-ADMIEXJRE01,192.168.84.23,478
BR-ADMIEXJRE01,192.168.85.9,85702
BR-ADMIEXJRE01,64.39.104.113,3
BR-ADMIEXJRE01,64.39.104.113,1
BR-ADMIEXJRE01,192.168.83.10,4581
BR-ADMIEXJRE01,192.168.10.78,5
BR-ADMIEXJRE01,192.168.84.24,9
BR-ADMIEXJRE01,64.39.104.113,1
BR-ADMIEXJRE01,192.168.10.6,14
BR-ADMIEXJRE01,95.101.88.93,47
BR-ADMIEXJRE01,95.101.88.93,1
BR-ADMIEXJRE01,2.20.52.70,10
BR-ADMIEXJRE01,10.36.230.86,3
BR-ADMIEXJRE01,10.29.108.252,3
BR-ADMIEXJRE01,192.168.85.9,14818
BR-ADMIEXJRE01,10.100.155.17,2
BR-ADMIEXJRE01,192.168.84.135,2
BR-ADMIEXJRE01,192.168.84.24,6418
BR-ADMIEXJRE01,192.168.85.9,72
BR-ADMIEXJRE01,192.168.83.10,5
BR-ADMIEXJRE01,192.168.84.136,71
BR-ADMIEXJRE01,192.168.84.136,5
