from,to,weight
BR-ADMIEXIHS02,Unscanned-Device,2
BR-ADMIEXIHS02,Unscanned-Device,3
BR-ADMIEXIHS02,Unscanned-Device,553
BR-ADMIEXIHS02,Unscanned-Device,3
BR-ADMIEXIHS02,Unscanned-Device,67
BR-ADMIEXIHS02,Unscanned-Device,19
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,1072
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,31
BR-ADMIEXIHS02,Unscanned-Device,2
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,164
BR-ADMIEXIHS02,Unscanned-Device,4
BR-ADMIEXIHS02,Unscanned-Device,15
BR-ADMIEXIHS02,Unscanned-Device,18
BR-ADMIEXIHS02,Unscanned-Device,794
BR-ADMIEXIHS02,Unscanned-Device,986
BR-ADMIEXIHS02,Unscanned-Device,42
BR-ADMIEXIHS02,Unscanned-Device,126
BR-ADMIEXIHS02,Unscanned-Device,4
BR-ADMIEXIHS02,Unscanned-Device,108
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,5
BR-ADMIEXIHS02,Unscanned-Device,3
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,3
BR-ADMIEXIHS02,Unscanned-Device,28
BR-ADMIEXIHS02,Unscanned-Device,41
BR-ADMIEXIHS02,Unscanned-Device,8
BR-ADMIEXIHS02,Unscanned-Device,4
BR-ADMIEXIHS02,Unscanned-Device,5
BR-ADMIEXIHS02,Unscanned-Device,4
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02,Unscanned-Device,2
BR-ADMIEXIHS02,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,21
BR-ADMIEXIHS02D,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,16
BR-ADMIEXIHS02D,Unscanned-Device,48
BR-ADMIEXIHS02D,Unscanned-Device,3
BR-ADMIEXIHS02D,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,72
BR-ADMIEXIHS02D,Unscanned-Device,4
BR-ADMIEXIHS02D,Unscanned-Device,3
BR-ADMIEXIHS02D,Unscanned-Device,103
BR-ADMIEXIHS02D,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,961
BR-ADMIEXIHS02D,Unscanned-Device,4
BR-ADMIEXIHS02D,Unscanned-Device,2
BR-ADMIEXIHS02D,Unscanned-Device,2
BR-ADMIEXIHS02D,Unscanned-Device,567
BR-ADMIEXIHS02D,Unscanned-Device,3
BR-ADMIEXIHS02D,Unscanned-Device,3
BR-ADMIEXIHS02D,Unscanned-Device,2
BR-ADMIEXIHS02D,Unscanned-Device,2
BR-ADMIEXIHS02D,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,2
BR-ADMIEXIHS02D,Unscanned-Device,19
BR-ADMIEXIHS02D,Unscanned-Device,83
BR-ADMIEXIHS02D,Unscanned-Device,3
BR-ADMIEXIHS02D,Unscanned-Device,2
BR-ADMIEXIHS02D,Unscanned-Device,4
BR-ADMIEXIHS02D,Unscanned-Device,66
BR-ADMIEXIHS02D,Unscanned-Device,421
BR-ADMIEXIHS02D,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,3
BR-ADMIEXIHS02D,Unscanned-Device,2
BR-ADMIEXIHS02D,Unscanned-Device,2
BR-ADMIEXIHS02D,Unscanned-Device,2
BR-ADMIEXIHS02D,Unscanned-Device,2
BR-ADMIEXIHS02D,Unscanned-Device,2
BR-ADMIEXIHS02D,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,3
BR-ADMIEXIHS02D,Unscanned-Device,64
BR-ADMIEXIHS02D,Unscanned-Device,3
BR-ADMIEXIHS02D,Unscanned-Device,34
BR-ADMIEXIHS02D,Unscanned-Device,1
BR-ADMIEXIHS02D,Unscanned-Device,9
BR-ADMIEXIHS02P,Unscanned-Device,1
BR-ADMIEXIHS02P,Unscanned-Device,15
BR-ADMIEXIHS02P,Unscanned-Device,18
BR-ADMIEXIHS02P,Unscanned-Device,704
BR-ADMIEXIHS02P,Unscanned-Device,258
BR-ADMIEXIHS02P,Unscanned-Device,44
BR-ADMIEXIHS02P,Unscanned-Device,3
BR-ADMIEXIHS02P,Unscanned-Device,2
BR-ADMIEXIHS02P,Unscanned-Device,3848
BR-ADMIEXIHS02P,Unscanned-Device,109
BR-ADMIEXIHS02P,Unscanned-Device,61
BR-ADMIEXIHS02P,Unscanned-Device,3
BR-ADMIEXIHS02P,Unscanned-Device,2
BR-ADMIEXIHS02P,Unscanned-Device,962
BR-ADMIEXIHS02P,Unscanned-Device,33
BR-ADMIEXIHS02P,Unscanned-Device,27
BR-ADMIEXIHS02P,Unscanned-Device,962
BR-ADMIEXIHS02P,Unscanned-Device,15
BR-ADMIEXIHS02P,Unscanned-Device,13
BR-ADMIEXIHS02P,Unscanned-Device,2
BR-ADMIEXIHS02P,Unscanned-Device,79
BR-ADMIEXIHS02P,Unscanned-Device,1
BR-ADMIEXIHS02P,Unscanned-Device,3
BR-ADMIEXIHS02P,Unscanned-Device,32
BR-ADMIEXIHS02P,Unscanned-Device,61
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,218
BR-ADMIEXJRE01,Unscanned-Device,478
BR-ADMIEXJRE01,Unscanned-Device,85702
BR-ADMIEXJRE01,Unscanned-Device,3
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,4581
BR-ADMIEXJRE01,Unscanned-Device,5
BR-ADMIEXJRE01,Unscanned-Device,9
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,14
BR-ADMIEXJRE01,Unscanned-Device,47
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,10
BR-ADMIEXJRE01,Unscanned-Device,3
BR-ADMIEXJRE01,Unscanned-Device,3
BR-ADMIEXJRE01,Unscanned-Device,14818
BR-ADMIEXJRE01,Unscanned-Device,2
BR-ADMIEXJRE01,Unscanned-Device,2
BR-ADMIEXJRE01,Unscanned-Device,6418
BR-ADMIEXJRE01,Unscanned-Device,72
BR-ADMIEXJRE01,Unscanned-Device,5
BR-ADMIEXJRE01,Unscanned-Device,71
BR-ADMIEXJRE01,Unscanned-Device,5
BR-ADMIEXJRE01,Unscanned-Device,5
BR-ADMIEXJRE01,Unscanned-Device,15
BR-ADMIEXJRE01,Unscanned-Device,6
BR-ADMIEXJRE01,Unscanned-Device,471
BR-ADMIEXJRE01,Unscanned-Device,32
BR-ADMIEXJRE01,Unscanned-Device,59
BR-ADMIEXJRE01,Unscanned-Device,5
BR-ADMIEXJRE01,Unscanned-Device,3
BR-ADMIEXJRE01,Unscanned-Device,79
BR-ADMIEXJRE01,Unscanned-Device,7
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,2
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,9
BR-ADMIEXJRE01,Unscanned-Device,7377
BR-ADMIEXJRE01,Unscanned-Device,3
BR-ADMIEXJRE01,Unscanned-Device,4
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,929
BR-ADMIEXJRE01,Unscanned-Device,2
BR-ADMIEXJRE01,Unscanned-Device,34
BR-ADMIEXJRE01,Unscanned-Device,2
BR-ADMIEXJRE01,Unscanned-Device,3
BR-ADMIEXJRE01,Unscanned-Device,964
BR-ADMIEXJRE01,Unscanned-Device,156
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,1004
BR-ADMIEXJRE01,Unscanned-Device,3791
BR-ADMIEXJRE01,Unscanned-Device,3416
BR-ADMIEXJRE01,Unscanned-Device,60397
BR-ADMIEXJRE01,Unscanned-Device,139
BR-ADMIEXJRE01,Unscanned-Device,10
BR-ADMIEXJRE01,Unscanned-Device,13
BR-ADMIEXJRE01,Unscanned-Device,64
BR-ADMIEXJRE01,Unscanned-Device,2
BR-ADMIEXJRE01,Unscanned-Device,2
BR-ADMIEXJRE01,Unscanned-Device,49
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,3
BR-ADMIEXJRE01,Unscanned-Device,2
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,3
BR-ADMIEXJRE01,Unscanned-Device,8
BR-ADMIEXJRE01,Unscanned-Device,4
BR-ADMIEXJRE01,Unscanned-Device,166
BR-ADMIEXJRE01,Unscanned-Device,3
BR-ADMIEXJRE01,Unscanned-Device,1
BR-ADMIEXJRE01,Unscanned-Device,5
BR-ADMIEXJRE01,Unscanned-Device,4
BR-ADMIEXJRE01,Unscanned-Device,4
BR-ADMIEXJRE01,Unscanned-Device,9
BR-ADMIEXJRE01,Unscanned-Device,5
BR-ADMIEXJRE01,Unscanned-Device,2818
BR-ADMIEXJRE01,Unscanned-Device,42
BR-ADMIEXJRE01,Unscanned-Device,46
BR-ADMIEXJRE01,Unscanned-Device,3
