groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,on,Unscanned Device,34.205.5.8,443,3
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,on,Unscanned Device,44.225.240.147,443,4
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,on,Unscanned Device,52.6.19.160,443,3
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,on,Unscanned Device,54.68.97.123,443,4
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,on,Unscanned Device,64.39.104.113,443,5
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,timewait,Unscanned Device,192.168.10.6,10051,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,192.168.94.16,dynamic,timewait,Unscanned Device,64.39.104.113,443,21
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,20.1.1.173,37334,keepalive,Unscanned Device,20.1.1.151,1500,11
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,20.1.1.173,37336,on,Unscanned Device,20.1.1.151,1500,3
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,20.1.1.173,dynamic,keepalive,Unscanned Device,20.1.1.151,1500,4
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRD,20.1.1.173,dynamic,on,Unscanned Device,169.254.169.254,80,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,33776,timewait,Unscanned Device,64.39.104.113,443,36
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,35698,keepalive,Unscanned Device,34.205.5.8,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,36486,timewait,Unscanned Device,104.16.185.241,80,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,36946,timewait,Unscanned Device,20.1.1.152,1500,10
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,37812,keepalive,Unscanned Device,34.205.5.9,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,37946,off,Unscanned Device,23.60.80.75,443,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,38732,off,Unscanned Device,192.168.77.211,8878,2
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,38842,keepalive,Unscanned Device,54.165.185.17,443,315
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,38842,on,Unscanned Device,54.165.185.17,443,2
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,39264,on,Unscanned Device,34.205.5.9,443,4
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,39318,on,Unscanned Device,192.168.77.211,8878,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,39340,on,Unscanned Device,64.39.104.113,443,20
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,39824,off,Unscanned Device,23.222.252.70,443,115
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,40007,keepalive,Unscanned Device,192.168.10.6,10051,3
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,40698,on,Unscanned Device,34.205.5.8,443,5
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,40812,off,Unscanned Device,95.101.88.93,443,53
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,41481,on,Unscanned Device,192.168.10.6,10051,1
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,44296,timewait,Unscanned Device,192.168.14.21,13128,8
Assessment,bripley-onprem-cl,TCP,BR-ADMIEXDMGRP,192.168.76.216,45195,timewait,Unscanned Device,192.168.10.6,10051,52
