from,to,weight,tag
10.156.24.208,10.56.119.249,13,L04011PAPP0
10.156.24.209,10.56.119.249,1,L04011PAPP0
10.156.26.130,10.56.119.249,7,L04011PAPP0
10.156.26.130,10.56.119.249,1,L04011PAPP0
10.156.26.130,10.56.119.249,3,L04011PAPP0
10.56.122.122,10.56.119.249,1,L04011PAPP0
10.56.122.122,10.56.119.249,18,L04011PAPP0
10.56.122.122,10.56.119.249,15,L04011PAPP0
10.56.122.137,10.56.119.249,1,L04011PAPP0
10.56.8.140,10.56.119.249,37,L04011PAPP0
10.56.8.171,10.56.119.249,1,L04011PAPP0
10.56.8.57,10.56.119.249,12,L04011PAPP0
10.156.26.84,10.56.119.249,1,L04011PAPP0
10.156.28.23,10.56.119.249,1,L04011PAPP0
10.156.28.23,10.56.119.249,1,L04011PAPP0
10.156.24.168,10.56.119.249,1,L04011PAPP0
10.156.24.168,10.56.119.249,1,L04011PAPP0
10.156.24.168,10.56.119.249,1,L04011PAPP0
10.156.28.46,10.56.119.249,1,L04011PAPP0
10.156.28.46,10.56.119.249,1,L04011PAPP0
10.156.28.46,10.56.119.249,1,L04011PAPP0
10.156.28.46,10.56.119.249,308,L04011PAPP0
10.156.28.46,10.56.119.249,722,L04011PAPP0
10.156.28.57,10.56.119.249,3,L04011PAPP0
10.56.122.70,10.56.119.249,197,L04011PAPP0
10.56.122.70,10.56.119.249,205,L04011PAPP0
10.56.122.70,10.56.119.249,83,L04011PAPP0
10.56.122.70,10.56.119.249,58,L04011PAPP0
10.56.119.195,10.56.119.240,1,L04014PAPP0
10.193.192.140,10.56.119.240,1,L04014PAPP0
10.193.249.11,10.56.119.240,7,L04014PAPP0
10.193.249.11,10.56.119.240,258,L04014PAPP0
10.193.249.11,10.56.119.240,2,L04014PAPP0
10.193.249.11,10.56.119.240,145,L04014PAPP0
10.56.122.122,10.56.119.240,9,L04014PAPP0
10.56.122.122,10.56.119.240,14,L04014PAPP0
10.56.122.122,10.56.119.240,10,L04014PAPP0
10.56.122.122,10.56.119.240,2,L04014PAPP0
10.56.8.88,10.56.119.240,192,L04014PAPP0
10.56.8.88,10.56.119.240,225,L04014PAPP0
10.56.8.88,10.56.119.240,717,L04014PAPP0
10.56.119.59,10.56.119.240,1,L04014PAPP0
10.56.119.59,10.56.119.240,1,L04014PAPP0
10.56.119.60,10.56.119.240,1,L04014PAPP0
10.56.119.60,10.56.119.240,2,L04014PAPP0
10.56.122.70,10.56.119.240,206,L04014PAPP0
10.56.122.70,10.56.119.240,191,L04014PAPP0
10.56.122.70,10.56.119.240,76,L04014PAPP0
10.56.122.70,10.56.119.240,64,L04014PAPP0
10.56.119.195,10.56.122.94,1,L04067PAPP0
10.193.249.11,10.56.122.94,4,L04067PAPP0
10.193.249.11,10.56.122.94,437,L04067PAPP0
10.56.122.122,10.56.122.94,9,L04067PAPP0
10.56.122.122,10.56.122.94,1,L04067PAPP0
10.56.122.122,10.56.122.94,13,L04067PAPP0
10.56.87.71,10.56.122.94,2,L04067PAPP0
10.56.119.59,10.56.122.94,2,L04067PAPP0
10.56.119.59,10.56.122.94,3,L04067PAPP0
10.56.119.60,10.56.122.94,3,L04067PAPP0
10.56.119.60,10.56.122.94,6,L04067PAPP0
10.56.122.70,10.56.122.94,181,L04067PAPP0
10.56.122.70,10.56.122.94,203,L04067PAPP0
10.56.122.70,10.56.122.94,70,L04067PAPP0
10.56.122.70,10.56.122.94,82,L04067PAPP0
10.56.119.195,10.56.122.115,1,L04134PAPP0
10.156.15.140,10.56.122.115,8,L04134PAPP0
10.193.249.11,10.56.122.115,24,L04134PAPP0
10.193.249.11,10.56.122.115,18,L04134PAPP0
10.56.122.122,10.56.122.115,4,L04134PAPP0
10.56.122.122,10.56.122.115,7,L04134PAPP0
10.56.122.174,10.56.122.115,1,L04134PAPP0
10.56.8.57,10.56.122.115,31,L04134PAPP0
10.56.8.57,10.56.122.115,50,L04134PAPP0
10.56.119.59,10.56.122.115,7,L04134PAPP0
10.56.119.59,10.56.122.115,10,L04134PAPP0
10.56.119.60,10.56.122.115,6,L04134PAPP0
10.56.119.60,10.56.122.115,10,L04134PAPP0
10.56.122.166,10.56.122.115,1608,L04134PAPP0
10.56.122.166,10.56.122.115,1,L04134PAPP0
10.56.122.166,10.56.122.115,466,L04134PAPP0
10.56.122.70,10.56.122.115,201,L04134PAPP0
10.56.122.70,10.56.122.115,58,L04134PAPP0
10.56.122.70,10.56.122.115,58,L04134PAPP0
10.56.119.195,10.56.122.100,1,L04160PAPP0
10.56.119.195,10.56.122.100,1,L04160PAPP0
10.193.249.11,10.56.122.100,4,L04160PAPP0
10.193.249.11,10.56.122.100,373,L04160PAPP0
10.56.122.122,10.56.122.100,5,L04160PAPP0
10.56.122.122,10.56.122.100,1,L04160PAPP0
10.56.122.68,10.56.122.100,12,L04160PAPP0
10.56.87.71,10.56.122.100,7,L04160PAPP0
10.56.87.71,10.56.122.100,1,L04160PAPP0
10.56.122.122,10.56.122.100,2,L04160PAPP0
10.56.122.122,10.56.122.100,1,L04160PAPP0
10.56.119.59,10.56.122.100,1,L04160PAPP0
10.56.119.60,10.56.122.100,1,L04160PAPP0
10.56.119.252,10.56.122.100,1,L04160PAPP0
10.56.119.252,10.56.122.100,1,L04160PAPP0
10.56.119.252,10.56.122.100,1,L04160PAPP0
10.56.122.99,10.56.122.100,179,L04160PAPP0
10.56.122.99,10.56.122.100,206,L04160PAPP0
10.56.122.226,10.56.122.100,2,L04160PAPP0
10.56.122.226,10.56.122.100,1,L04160PAPP0
10.56.122.70,10.56.122.100,201,L04160PAPP0
10.56.122.70,10.56.122.100,189,L04160PAPP0
10.56.122.70,10.56.122.100,79,L04160PAPP0
10.56.122.70,10.56.122.100,94,L04160PAPP0
10.193.249.11,10.56.122.155,1,L05112PAPP0
10.193.249.11,10.56.122.155,1,L05112PAPP0
10.193.249.11,10.56.122.155,165,L05112PAPP0
10.56.122.122,10.56.122.155,14,L05112PAPP0
10.56.122.122,10.56.122.155,7,L05112PAPP0
10.56.87.71,10.56.122.155,1,L05112PAPP0
10.56.119.60,10.56.122.155,1,L05112PAPP0
10.56.119.60,10.56.122.155,1,L05112PAPP0
10.56.122.70,10.56.122.155,66,L05112PAPP0
10.56.122.70,10.56.122.155,131,L05112PAPP0
10.56.122.70,10.56.122.155,89,L05112PAPP0
10.56.122.70,10.56.122.155,65,L05112PAPP0
10.193.249.11,10.56.122.156,6,L05113PAPP0
10.193.249.11,10.56.122.156,365,L05113PAPP0
10.56.122.122,10.56.122.156,8,L05113PAPP0
10.56.122.122,10.56.122.156,1,L05113PAPP0
10.56.122.122,10.56.122.156,14,L05113PAPP0
10.56.87.71,10.56.122.156,4,L05113PAPP0
10.56.87.71,10.56.122.156,16,L05113PAPP0
10.56.119.59,10.56.122.156,1,L05113PAPP0
10.56.119.60,10.56.122.156,1,L05113PAPP0
10.56.119.60,10.56.122.156,1,L05113PAPP0
10.56.122.70,10.56.122.156,92,L05113PAPP0
10.56.122.70,10.56.122.156,185,L05113PAPP0
10.56.122.70,10.56.122.156,81,L05113PAPP0
10.56.122.70,10.56.122.156,91,L05113PAPP0
10.56.119.195,10.56.122.231,1,L05374PORA0
10.56.122.244,10.56.122.231,13,L05374PORA0
10.56.122.244,10.56.122.231,502,L05374PORA0
10.56.122.244,10.56.122.231,182,L05374PORA0
10.56.122.244,10.56.122.231,10,L05374PORA0
10.56.122.244,10.56.122.231,541,L05374PORA0
10.56.122.244,10.56.122.231,224,L05374PORA0
10.56.122.244,10.56.122.231,1,L05374PORA0
10.56.122.245,10.56.122.231,31,L05374PORA0
10.56.122.245,10.56.122.231,204,L05374PORA0
10.56.122.245,10.56.122.231,306,L05374PORA0
10.56.122.245,10.56.122.231,1,L05374PORA0
10.56.122.245,10.56.122.231,306,L05374PORA0
10.56.122.245,10.56.122.231,459,L05374PORA0
10.56.122.245,10.56.122.231,1,L05374PORA0
10.56.122.122,10.56.122.231,1,L05374PORA0
10.56.122.122,10.56.122.231,15,L05374PORA0
10.56.122.122,10.56.122.231,16,L05374PORA0
10.56.119.60,10.56.122.231,1,L05374PORA0
10.56.119.60,10.56.122.231,1,L05374PORA0
10.56.122.70,10.56.122.231,17,L05374PORA0
10.56.122.70,10.56.122.231,153,L05374PORA0
10.56.122.70,10.56.122.231,87,L05374PORA0
10.56.122.70,10.56.122.231,60,L05374PORA0
10.56.122.122,10.56.113.87,11,L05463PAPP0
10.56.122.122,10.56.113.87,19,L05463PAPP0
10.56.122.122,10.56.113.87,2,L05463PAPP0
10.56.48.22,10.56.113.87,1,L05463PAPP0
10.56.48.22,10.56.113.87,1,L05463PAPP0
10.56.48.23,10.56.113.87,1,L05463PAPP0
10.56.87.71,10.56.113.87,1,L05463PAPP0
10.56.87.71,10.56.113.87,1,L05463PAPP0
10.56.87.71,10.56.113.87,1,L05463PAPP0
10.56.98.22,10.56.113.87,1,L05463PAPP0
10.56.98.22,10.56.113.87,1,L05463PAPP0
10.56.98.22,10.56.113.87,1,L05463PAPP0
10.56.98.22,10.56.113.87,1,L05463PAPP0
10.56.98.23,10.56.113.87,2,L05463PAPP0
10.56.98.25,10.56.113.87,2,L05463PAPP0
10.56.98.25,10.56.113.87,1,L05463PAPP0
10.56.98.25,10.56.113.87,1,L05463PAPP0
10.56.119.59,10.56.113.87,5,L05463PAPP0
10.56.119.59,10.56.113.87,3,L05463PAPP0
10.56.119.60,10.56.113.87,1,L05463PAPP0
10.56.119.60,10.56.113.87,8,L05463PAPP0
10.56.122.70,10.56.113.87,181,L05463PAPP0
10.56.122.70,10.56.113.87,186,L05463PAPP0
10.56.122.70,10.56.113.87,87,L05463PAPP0
10.56.122.70,10.56.113.87,80,L05463PAPP0
10.193.249.11,10.56.122.161,63,L05526PAPP0
10.193.249.11,10.56.122.161,1,L05526PAPP0
10.193.249.11,10.56.122.161,1,L05526PAPP0
10.193.249.11,10.56.122.161,30,L05526PAPP0
10.56.122.122,10.56.122.161,19,L05526PAPP0
10.56.122.122,10.56.122.161,13,L05526PAPP0
10.56.87.71,10.56.122.161,2,L05526PAPP0
10.56.0.20,10.56.122.161,30,L05526PAPP0
10.56.0.75,10.56.122.161,6,L05526PAPP0
10.56.0.75,10.56.122.161,29,L05526PAPP0
10.56.122.122,10.56.122.161,1,L05526PAPP0
10.56.119.59,10.56.122.161,2,L05526PAPP0
10.56.119.59,10.56.122.161,3,L05526PAPP0
10.56.119.60,10.56.122.161,1,L05526PAPP0
10.56.119.60,10.56.122.161,2,L05526PAPP0
10.56.122.70,10.56.122.161,143,L05526PAPP0
10.56.122.70,10.56.122.161,184,L05526PAPP0
10.56.122.70,10.56.122.161,65,L05526PAPP0
10.56.122.70,10.56.122.161,95,L05526PAPP0
10.56.119.195,10.56.122.244,2,L05528PNOD1
10.56.119.195,10.56.122.244,1,L05528PNOD1
10.56.119.195,10.56.122.244,2,L05528PNOD1
10.56.119.195,10.56.122.244,3,L05528PNOD1
10.56.119.62,10.56.122.251,71,L05528PNOD1
10.56.119.62,10.56.122.246,1,L05528PNOD1
10.56.119.62,10.56.122.246,5,L05528PNOD1
10.56.119.62,10.56.122.246,42,L05528PNOD1
10.56.119.62,10.56.122.246,9,L05528PNOD1
10.56.119.62,10.56.122.249,52,L05528PNOD1
10.56.119.62,10.56.122.246,1,L05528PNOD1
10.56.119.62,10.56.122.246,1,L05528PNOD1
10.56.119.62,10.56.122.246,19,L05528PNOD1
10.56.119.62,10.56.122.249,2,L05528PNOD1
10.56.119.62,10.56.122.251,9,L05528PNOD1
10.56.119.62,10.56.122.249,11,L05528PNOD1
10.56.119.62,10.56.122.251,1,L05528PNOD1
10.56.119.62,10.56.122.246,35,L05528PNOD1
10.56.119.62,10.56.122.246,1,L05528PNOD1
10.56.119.62,10.56.122.246,11,L05528PNOD1
10.56.119.62,10.56.122.246,3,L05528PNOD1
10.56.119.62,10.56.122.246,1,L05528PNOD1
10.56.119.62,10.56.122.246,1,L05528PNOD1
10.56.119.62,10.56.122.246,19,L05528PNOD1
10.56.119.62,10.56.122.249,7,L05528PNOD1
10.56.119.62,10.56.122.251,2,L05528PNOD1
10.56.122.231,10.56.122.246,1,L05528PNOD1
10.56.122.231,10.56.122.246,1,L05528PNOD1
10.56.122.244,10.56.122.251,4,L05528PNOD1
10.56.122.244,10.56.122.249,10,L05528PNOD1
10.56.122.244,10.56.122.249,7,L05528PNOD1
10.56.122.244,10.56.122.249,274,L05528PNOD1
10.56.122.244,10.56.122.249,274,L05528PNOD1
10.56.122.244,10.56.122.249,1,L05528PNOD1
10.56.122.244,10.56.122.246,1,L05528PNOD1
10.56.122.244,10.56.122.246,45,L05528PNOD1
10.56.122.244,10.56.122.246,279,L05528PNOD1
10.56.122.244,10.56.122.246,100,L05528PNOD1
10.56.122.244,10.56.122.246,435,L05528PNOD1
10.56.122.244,10.56.122.251,8,L05528PNOD1
10.56.122.244,10.56.122.246,704,L05528PNOD1
10.56.122.244,10.56.122.251,274,L05528PNOD1
10.56.122.244,10.56.122.246,277,L05528PNOD1
10.56.122.244,10.56.122.251,274,L05528PNOD1
10.56.122.244,10.56.122.246,1,L05528PNOD1
10.56.122.244,10.56.122.246,2,L05528PNOD1
10.56.122.244,10.56.122.246,14,L05528PNOD1
10.56.122.244,10.56.122.246,24,L05528PNOD1
10.56.122.244,10.56.122.246,1,L05528PNOD1
10.56.122.244,10.56.122.249,3,L05528PNOD1
10.56.122.244,10.56.122.249,1,L05528PNOD1
10.56.122.244,10.56.122.251,2,L05528PNOD1
10.56.122.244,10.56.122.251,5,L05528PNOD1
10.56.122.246,10.56.122.251,2,L05528PNOD1
10.56.122.246,10.56.122.249,2,L05528PNOD1
10.56.122.246,10.56.122.244,1,L05528PNOD1
10.56.122.246,10.56.122.244,2,L05528PNOD1
10.56.122.246,10.56.122.244,1,L05528PNOD1
10.56.122.246,10.56.122.249,1,L05528PNOD1
10.56.122.246,10.56.122.249,1,L05528PNOD1
10.56.122.246,10.56.122.251,1,L05528PNOD1
